,species,model,structure,c44_fcc,miller_indices,surface_energy_110_fcc,model_type,model_base_type,c44_fcc_avg,surface_energy_110_fcc_avg
39,Ag,EAM_Dynamo_WuTrinkle_2009_CuAg__MO_270337113239_005,fcc,47.148928773602314,"[1, 1, 0]",0.06346488150734027,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
40,Ag,EAM_Dynamo_ZhouJohnsonWadley_2004NISTretabulation_CuAgAu__MO_318213562153_000,fcc,50.52943067830332,"[1, 1, 1]",0.05655311189252338,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
41,Ag,EAM_Dynamo_ZhouJohnsonWadley_2004NISTretabulation_CuAgAu__MO_318213562153_000,fcc,50.52943067830332,"[1, 0, 0]",0.06102904584103771,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
42,Ag,EAM_Dynamo_ZhouJohnsonWadley_2004NISTretabulation_CuAgAu__MO_318213562153_000,fcc,50.52943067830332,"[1, 2, 1]",0.06537549022177148,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
43,Ag,EAM_Dynamo_ZhouJohnsonWadley_2004NISTretabulation_CuAgAu__MO_318213562153_000,fcc,50.52943067830332,"[1, 1, 0]",0.06758911558490684,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
44,Ag,EAM_Dynamo_ZhouJohnsonWadley_2004_Ag__MO_947112899505_005,fcc,50.51796069459974,"[1, 1, 1]",0.0565530550138977,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
45,Ag,EAM_Dynamo_ZhouJohnsonWadley_2004_Ag__MO_947112899505_005,fcc,50.51796069459974,"[1, 0, 0]",0.06102903864922991,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
46,Ag,EAM_Dynamo_ZhouJohnsonWadley_2004_Ag__MO_947112899505_005,fcc,50.51796069459974,"[1, 2, 1]",0.06537536988860151,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
47,Ag,EAM_Dynamo_ZhouJohnsonWadley_2004_Ag__MO_947112899505_005,fcc,50.51796069459974,"[1, 1, 0]",0.06758907759740976,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
48,Ag,EAM_Dynamo_ZhouJohnsonWadley_2004NISTretabulation_Ag__MO_505250810900_000,fcc,50.52943067830332,"[1, 1, 1]",0.05655311189252469,"['EAM', 'Dynamo']",EAM,92.12472709142287,0.09613893800034115
